Apply policy: Assure
MACHINE v100-maxq
GPU freqset tool start..
Reset GPU frequency for: device 0. device 1. device 2. device 3. device 4. device 5. device 6. device 7. 
Main loop start..
2023-9-22 10:21:0, 0, 0, 47155, 817, 855, 0, 0, 48135, 817, 855, 0, 0, 47124, 817, 855, 0, 0, 49114, 817, 855, 0, 0, 50650, 817, 855, 0, 0, 47155, 817, 855, 0, 0, 48166, 817, 855, 0, 0, 45225, 817, 855, 127379
2023-9-22 10:21:0, 0, 0, 47155, 855, 1050, 0, 0, 48166, 855, 1050, 1, 0, 47614, 855, 1050, 0, 0, 49604, 855, 1050, 0, 0, 51141, 855, 1050, 0, 0, 47645, 855, 1050, 0, 0, 48656, 855, 1050, 0, 0, 45685, 855, 1050, 123558
2023-9-22 10:21:1, 0, 0, 50551, 1050, 1245, 1, 0, 51564, 1050, 1245, 0, 0, 52020, 1050, 1245, 1, 0, 53978, 1050, 1245, 0, 0, 55556, 1050, 1245, 0, 0, 51530, 1050, 1245, 0, 0, 52578, 1050, 1245, 0, 0, 49114, 1050, 1245, 102986
2023-9-22 10:21:1, 1, 0, 56426, 1245, 1440, 0, 0, 57933, 1245, 1440, 0, 0, 57857, 1245, 1440, 0, 0, 60343, 1245, 1440, 0, 0, 62383, 1245, 1440, 0, 0, 57406, 1245, 1440, 1, 0, 58913, 1245, 1440, 0, 0, 54504, 1245, 1440, 119443
2023-9-22 10:21:1, 0, 0, 64707, 1440, 1440, 0, 0, 67198, 1440, 1440, 0, 0, 67599, 1440, 1440, 0, 0, 69111, 1440, 1440, 0, 0, 72631, 1440, 1440, 0, 0, 66175, 1440, 1440, 0, 0, 67687, 1440, 1440, 1, 0, 62302, 1440, 1440, 113625
2023-9-22 10:21:1, 2, 0, 64707, 1440, 1245, 0, 0, 67198, 1440, 1245, 0, 0, 67643, 1440, 1245, 0, 0, 69156, 1440, 1245, 0, 0, 72678, 1440, 1245, 0, 0, 66175, 1440, 1245, 0, 0, 67731, 1440, 1245, 0, 0, 62342, 1440, 1245, 109846
2023-9-22 10:21:1, 0, 0, 56463, 1245, 1050, 0, 0, 57933, 1245, 1050, 0, 0, 58385, 1245, 1050, 0, 0, 60383, 1245, 1050, 0, 0, 62424, 1245, 1050, 0, 0, 57406, 1245, 1050, 0, 0, 58951, 1245, 1050, 0, 0, 54994, 1245, 1050, 106415
2023-9-22 10:21:2, 0, 0, 50617, 1050, 855, 0, 0, 52088, 1050, 855, 0, 0, 52054, 1050, 855, 0, 0, 54014, 1050, 855, 0, 0, 55556, 1050, 855, 0, 0, 51564, 1050, 855, 0, 0, 52578, 1050, 855, 0, 0, 49147, 1050, 855, 126089
2023-9-22 10:21:2, 0, 0, 47645, 855, 855, 0, 0, 48166, 855, 855, 0, 0, 47645, 855, 855, 0, 0, 49604, 855, 855, 0, 0, 51141, 855, 855, 0, 0, 47645, 855, 855, 0, 0, 48656, 855, 855, 0, 0, 45685, 855, 855, 100274
2023-9-22 10:21:2, 0, 0, 47155, 855, 855, 0, 0, 48166, 855, 855, 0, 0, 47614, 855, 855, 0, 0, 49604, 855, 855, 0, 0, 51108, 855, 855, 0, 0, 47614, 855, 855, 0, 0, 48656, 855, 855, 0, 0, 45685, 855, 855, 88962
2023-9-22 10:21:2, 0, 0, 47155, 855, -1, 0, 0, 48166, 855, -1, 0, 0, 47614, 855, -1, 0, 0, 49604, 855, -1, 0, 0, 51141, 855, -1, 0, 0, 47614, 855, -1, 0, 0, 48656, 855, -1, 0, 0, 45715, 855, -1, 10835
2023-9-22 10:21:2, 0, 0, 47155, 855, -1, 0, 0, 48166, 855, -1, 0, 0, 47614, 855, -1, 0, 0, 49604, 855, -1, 0, 0, 51141, 855, -1, 0, 0, 47645, 855, -1, 0, 0, 48656, 855, -1, 0, 0, 45715, 855, -1, 10528
2023-9-22 10:21:3, 0, 0, 66708, 855, -1, 0, 0, 48135, 855, -1, 0, 0, 47614, 855, -1, 0, 0, 49604, 855, -1, 0, 0, 51141, 855, -1, 0, 0, 47645, 855, -1, 0, 0, 48656, 855, -1, 0, 0, 45685, 855, -1, 13403
2023-9-22 10:21:3, 76, 9, 75961, 855, -1, 0, 0, 48135, 855, -1, 0, 0, 47614, 855, -1, 0, 0, 49572, 855, -1, 0, 0, 51141, 855, -1, 0, 0, 47614, 855, -1, 0, 0, 48656, 855, -1, 0, 0, 45685, 855, -1, 10772
2023-9-22 10:21:3, 100, 12, 75961, 855, -1, 0, 0, 48135, 855, -1, 0, 0, 47614, 855, -1, 0, 0, 49604, 855, -1, 0, 0, 51141, 855, -1, 0, 0, 47645, 855, -1, 0, 0, 48656, 855, -1, 0, 0, 45685, 855, -1, 10691
2023-9-22 10:21:3, 100, 13, 75961, 855, -1, 0, 0, 48135, 855, -1, 0, 0, 47614, 855, -1, 0, 0, 49572, 855, -1, 0, 0, 51141, 855, -1, 0, 0, 47645, 855, -1, 0, 0, 48656, 855, -1, 0, 0, 45715, 855, -1, 11083
2023-9-22 10:21:3, 100, 13, 75961, 855, -1, 0, 0, 48135, 855, -1, 0, 0, 47614, 855, -1, 0, 0, 49604, 855, -1, 0, 0, 51141, 855, -1, 0, 0, 47614, 855, -1, 0, 0, 48656, 855, -1, 0, 0, 45685, 855, -1, 11392
2023-9-22 10:21:4, 100, 13, 75961, 855, -1, 0, 0, 48135, 855, -1, 0, 0, 47614, 855, -1, 0, 0, 49572, 855, -1, 0, 0, 51141, 855, -1, 0, 0, 47614, 855, -1, 0, 0, 48656, 855, -1, 0, 0, 45685, 855, -1, 11430
2023-9-22 10:21:4, 100, 13, 76010, 855, -1, 0, 0, 48135, 855, -1, 0, 0, 47614, 855, -1, 0, 0, 49604, 855, -1, 0, 0, 51141, 855, -1, 0, 0, 47645, 855, -1, 0, 0, 48656, 855, -1, 0, 0, 45715, 855, -1, 11569
